state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
AL,2011,32.0,30.5,33.5,7304.0,11.8,10.9,12.7,2496.0,20.0,0.0,0.0,,4799642,14.047379765525845,34884.0,48647.46955436099,9.558333333333334,,0.5200387862261394,10.792355072990315,15.384051889763311
AL,2012,33.0,31.5,34.4,8651.0,12.2,11.4,13.1,2858.0,24.0,5.0,20.833333333333332,,4816632,14.5404779068927,35559.0,48583.43542566277,8.174999999999999,,0.5933606719384001,10.791037916928277,15.38758548659687
AL,2013,32.4,30.8,34.1,6244.0,13.8,12.8,14.9,3200.0,20.0,0.0,0.0,,4831586,14.943518438158057,35706.0,48079.98676294096,7.358333333333333,,0.6623084014234664,10.780621293895843,15.390685336118203
AL,2014,33.5,32.1,35.0,8190.0,12.9,12.1,13.8,0.0,,,,,4843737,15.36588492401985,36722.0,48658.73051786905,6.766666666666667,,,10.792586527174118,15.393197088209225
AL,2015,35.6,34.1,37.2,7383.0,13.5,12.6,14.4,0.0,,,,,4854803,15.746250019881602,38189.0,50542.631356259946,6.083333333333333,,,10.830572444411947,15.395479082159278
AL,2016,35.7,34.2,37.3,6526.0,14.6,13.6,15.7,0.0,,,,981967.0,4866824,16.152911883749223,38704.0,50586.04196680238,5.8,,,10.83143096676337,15.397952126255015
AL,2017,36.3,34.7,38.0,6245.0,14.1,13.2,15.2,0.0,,,,977980.0,4877989,16.552345895120336,39968.0,51148.56642693107,4.508333333333334,,,10.842489744143046,15.40024360273291
AL,2018,36.2,34.6,37.9,6144.0,14.5,13.5,15.5,0.0,,,,971919.0,4891628,16.954875772290716,41324.0,51622.957354804494,3.925,,,10.851721762503388,15.403035730379424
AL,2019,36.1,34.6,37.7,6521.0,14.0,13.0,14.9,0.0,,,,987125.0,4907965,17.39971948592035,42998.0,52758.07223403454,3.1916666666666664,,,10.873472067764059,15.406369953573169
AL,2020,39.0,37.3,40.8,4973.0,14.8,13.7,16.1,0.0,,,,1027886.0,5033094,17.249807894624674,45873.0,55599.79515888997,6.408333333333334,,,10.925934796039261,15.431545462317647
AL,2021,39.9,37.9,41.8,4247.0,15.1,13.8,16.4,0.0,,,,1114950.0,5049196,17.484311395031984,50630.0,58611.95071282556,3.391666666666667,,,10.9786938918517,15.434739580655824
AL,2022,38.3,36.3,40.3,4208.0,15.5,14.3,16.9,0.0,,,,1193936.0,5076181,17.83136630947048,51690.0,55405.10297822321,2.5416666666666665,,,10.922426980013643,15.440069765179109
AL,2023,39.2,37.3,41.3,4077.0,15.7,14.4,17.1,0.0,,,,,5117673,18.21013427292788,54610.0,56220.73571436972,2.475,,,10.937040930720855,15.448210401515311
AL,2024,38.9,37.1,40.7,4803.0,15.1,13.9,16.3,0.0,,,,,5157699,18.57553993183081,57251.0,57251.0,2.983333333333333,,,10.955200388512845,15.456001107768733
AK,2011,27.4,25.3,29.7,3336.0,7.9,6.6,9.4,436.0,20.0,7.0,35.0,,722349,8.278247862579464,52415.0,73095.3192492785,7.608333333333333,,0.6035863550721328,11.19951961153011,13.490263680586112
AK,2012,25.7,23.9,27.5,4093.0,7.0,6.0,8.1,411.0,22.0,7.0,31.818181818181817,,730810,8.79703591000662,53340.0,72877.20255363909,7.133333333333333,,0.5623896772074821,11.196531146916671,13.501908787026743
AK,2013,28.4,26.5,30.4,4396.0,7.1,6.1,8.2,390.0,21.0,4.0,19.047619047619047,,737626,9.274947446259336,52252.0,70360.03664194226,6.925000000000001,,0.52872322830269,11.16138071962939,13.511192200060973
AK,2014,29.7,27.8,31.7,4142.0,7.4,6.5,8.5,0.0,,,,,737075,9.791289607000092,55098.0,73007.97162664204,6.741666666666667,,,11.198323914533562,13.510444929901613
AK,2015,29.8,27.5,32.3,3434.0,7.6,6.4,9.2,0.0,,,,,738430,10.336943458433776,56714.0,75060.22139199577,6.283333333333334,,,11.226046022218313,13.512281589731169
AK,2016,31.4,28.5,34.4,2739.0,7.5,6.1,9.0,0.0,,,,164487.0,742575,10.85922081668486,55536.0,72585.4285517863,6.625,,,11.192519472015128,13.517879154658825
AK,2017,34.2,31.4,37.1,3031.0,7.4,6.2,8.9,0.0,,,,190562.0,740983,11.49577156004218,56500.0,72305.19423342688,6.608333333333333,,,11.188651248352274,13.515732962044742
AK,2018,29.5,27.0,32.2,2600.0,8.8,7.4,10.3,0.0,,,,204129.0,736624,12.142249613073243,58997.0,73700.50370393478,6.091666666666666,,,11.207764912671506,13.509832864596445
AK,2019,30.5,27.8,33.4,2729.0,7.3,6.2,8.5,0.0,,,,212001.0,733603,12.819496758474871,60504.0,74237.74134722605,5.6000000000000005,,,11.215027943333832,13.505723289338059
AK,2020,31.9,29.4,34.4,3335.0,7.6,6.5,9.0,0.0,,,,223872.0,733017,13.187639284279038,61912.0,75039.6642442656,8.283333333333333,,,11.225772109313295,13.504924172960013
